"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","[rid]_113","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","[rid]_190","bool_206","bool_207"
10,1,3,"[2925,2892]",[],"You have found the Mud Burrow. Search the tunnels for the Devourer.","Vous avez trouvé la Tanière boueuse. Fouillez les tunnels à la recherche du Dévoreur.","Ihr habt die Schlammgrube gefunden. Durchsucht die Tunnel nach dem Verschlinger.","泥の巣穴を見つけたトンネルを探索しデヴァウラーを見つけろ","진흙 토굴을 찾았습니다. 굴을 수색해서 포식자를 찾으십시오.","Você encontrou a Toca Lamacenta. Procure pelo Devorador nos túneis.","Вы нашли Грязевую нору. Обыщите туннели, чтобы найти Пожирателя.","Has encontrado el Lodazal. Registra los túneles para encontrar al Devorador.","คุณได้พบโพรงโคลนแล้ว ตามหาตัวสวาปามภายในโพรงเหล่านี้","你已找到泥沼陋居，在坑道中搜尋吞噬獸的蹤跡。","","Search the Mud Burrow","Fouillez la Tanière Boueuse","Durchsucht die Schlammgrube","泥の巣穴を探索しろ","진흙 토굴 수색하기","Procure na Toca Lamacenta","Обыщите Грязевую нору","Investiga el Lodazal","ค้นหาภายในโพรงโคลน","在泥沼陋居進行搜索",[14],0,"Find the Devourer and slay it","Trouvez le Dévoreur et tuez-le","Findet den Verschlinger und tötet ihn.","デヴァウラーを見つけて倒せ","포식자를 찾아서 처치하기","Encontre o Devorador e mate-o","Найдите Пожирателя и убейте его","Encuentra al Devorador y mátalo","ตามหาและสังหารตัวสวาปาม","找出吞噬獸並加以消滅",14,[],"",[],[],10,"","",[],"",""
11,1,4,[2925],[],"The Devourer lives underground in a Mud Burrow. Find it.","Le Dévoreur vit sous terre dans une Tanière boueuse. Trouvez-la.","Der Verschlinger verweilt in einer Schlammgrube unter der Erde. Findet sie.","デヴァウラーは泥の巣穴の地下に棲んでいる。見つけ出せ","포식자는 진흙 토굴 지하에 살고 있습니다. 찾으십시오.","O Devorador vive no subterrâneo em uma Toca Lamacenta. Encontre-o.","Пожиратель живёт под землёй в Грязевой норе. Найдите её.","El Devorador vive bajo tierra en un Lodazal. Encuéntralo.","ตัวสวาปามอาศัยอยู่ใต้ดินในโพรงโคลน ตามหามันให้เจอ","吞噬獸住在地底下的泥沼陋居，想辦法找到牠。","","Find the Mud Burrow","Trouvez la Tanière boueuse","Findet die Schlammgrube","泥の巣穴を見つけろ","진흙 토굴 찾기","Encontre a Toca Lamacenta","Найдите Грязевую нору","Encuentra el Lodazal","ค้นหาโพรงโคลน","尋找泥沼陋居",[9],0,"Search Clearfell to find the Mud Burrow entrance\nSlay the Devourer in its lair","Fouillez la Clairière pour trouver l'entrée de la Tanière boueuse\nTuez le Dévoreur dans son antre","Durchsucht Lichtfall nach dem Eingang zur Schlammgrube\nTötet den Verschlinger in seinem Versteck.","クリアフェルを探索し泥の巣穴の入口を見つけろ\nデヴァウラーをその巣で倒せ","클리어펠을 수색해서 진흙 토굴 입구 찾기\n소굴에 있는 포식자 처치하기","Procure em Clearfell para encontrar a entrada da Toca Lamacenta\nMate o Devorador em seu covil","Найдите на Вырубке вход в Грязевую нору\nУбейте Пожирателя в его логове","Registra Sierraclara para encontrar la entrada al Lodazal\nDerrota al Devorador en su guarida","ค้นหาทางเข้าโพรงโคลนภายในเคลียร์เฟล\nสังหารตัวสวาปามในรังของมัน","搜尋皆伐，找出泥沼陋居的入口\n在吞噬獸的巢穴擊殺吞噬獸","",[79],"",[],[],10,"","",[],"",""
12,1,5,[2925],[],"Find the Devourer in its Mud Burrow and slay it so that the Ezomytes can safely leave the walls of Clearfell once more.","Trouvez le Dévoreur dans sa Tanière boueuse et tuez-le pour que les Ézomytes puissent à nouveau quitter les murs de la Clairière en toute sécurité.","Spürt den Verschlinger in seiner Schlammgrube auf und tötet ihn, damit die Ezomyten die Mauern von Lichtfall endlich wieder sicher verlassen können.","エゾマイト人が再び安全にクリアフェルの壁から離れることができるように、泥の巣穴でデヴァウラーを見つけて倒せ","에조미어인들이 다시 안전하게 클리어펠 밖으로 떠날 수 있도록 진흙 토굴에 있는 포식자를 찾아 처치하십시오.","Encontre o Devorador em sua Toca Lamacenta e mate-o para que os Ezomitas possam sair de Clearfell em segurança.","Найдите Пожирателя в его Грязевой норе и убейте его, чтобы эзомиты могли вновь без опаски выходить за стены Клирфелла.","Encuentra al Devorador en el Lodazal y mátalo para que los ezomitas puedan salir con seguridad de los muros de Sierraclara.","ตามหาและสังหารตัวสวาปามภายในโพรงโคลน เพื่อให้เหล่าเอโซไมต์ได้ออกจากเคลียร์เฟลอย่างปลอดภัยอีกครั้ง","在泥沼陋居中找到吞噬獸並加以擊殺，讓艾茲麥人能再次安全地踏出皆伐城牆的保護範圍。","","Slay the Devourer","Tuez le Dévoreur","Tötet den Verschlinger","デヴァウラーを倒せ","포식자 처치하기","Mate o Devorador","Убейте Пожирателя","Derrota al Devorador","สังหารตัวสวาปาม","擊殺吞噬獸",[9],0,"Search Clearfell for the entrance to the Mud Burrow\nSlay the Devourer in its lair","Fouillez la Clairière à la recherche de l'entrée de la Tanière boueuse\nTuez le Dévoreur dans son antre","Sucht in Lichtfall nach dem Eingang zur Schlammgrube\nTötet den Verschlinger in seinem Versteck.","クリアフェルを探索し泥の巣穴の入口を見つけろ\nデヴァウラーをその巣で倒せ","클리어펠을 수색해서 진흙 토굴 입구 찾기\n소굴에 있는 포식자 처치하기","Procure em Clearfell para encontrar a entrada da Toca Lamacenta\nMate o Devorador em seu covil","Найдите на Вырубке вход в Грязевую нору\nУбейте Пожирателя в его логове","Registra Sierraclara para encontrar la entrada al Lodazal\nDerrota al Devorador en su guarida","ค้นหาทางเข้าโพรงโคลนภายในเคลียร์เฟล\nสังหารตัวสวาปามในรังของมัน","在伐木場尋找泥沼陋居的入口\n在吞噬獸的巢穴擊殺吞噬獸","",[],"",[],[],10,"","",[],"",""
13,2,0,[4701],[],"Quest Complete - You have released a dark entity called the Hooded One from the Tree of Souls.","Quête terminée — Vous avez libéré de l'Arbre des âmes une entité sombre appelée l'Encapuchonné.","Quest abgeschlossen: Ihr habt ein dunkles Wesen namens der Verhüllte aus dem Baum der Seelen befreit.","クエスト完了 - フードをかぶった者と呼ばれる闇の存在を魂の木から解放した","퀘스트 완료 - 영혼의 나무에서 두건 쓴 자라는 어둠의 존재를 풀어줬습니다.","Missão Concluída - Você libertou uma entidade sombria da Árvore das Almas chamada O Encapuzado ","Задание выполнено - Вы освободили тёмную сущность по имений Скрытный от Дерева Душ.","Misión completa - Has liberado a una entidad oscura llamada el Encapuchado del Árbol de las almas.","เควสต์เสร็จสิ้น - คุณได้ปลดปล่อยบุคคลมืดมนที่มีชื่อว่าผู้คลุมกายออกมาจากต้นตรึงวิญญาณแล้ว","任務完成——你從攝魂之樹釋放出一個名為黑衣幽魂的黑暗生物。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],10,"","",[],"",""
14,2,1,[4696],[],"You have released a dark entity called the Hooded One from the Tree of Souls. Return to Clearfell Encampment and speak to Una.","Vous avez libéré de l'Arbre des âmes une entité sombre appelée l'Encapuchonné. Retournez au Campement de la Clairière et parlez à Una.","Ihr habt ein dunkles Wesen namens der Verhüllte aus dem Baum der Seelen befreit. Kehrt zum Lichtfall-Lager zurück und sprecht mit Una.","フードをかぶった者と呼ばれる闇の存在を魂の木から解放した。クリアフェルの野営地に戻りウーナと話せ","영혼의 나무에서 두건 쓴 자라는 어둠의 존재를 풀어줬습니다. 클리어펠 야영지로 돌아가서 우나와 대화하십시오.","Você libertou uma entidade sombria da Árvore das Almas chamada O Encapuzado. Volte ao Acampamento Clearfell e fale com a Una.","Вы освободили тёмную сущность по имений Скрытный от Дерева Душ. Вернитесь в Лагерь Клирфелл и поговорите с Уной.","Has liberado a una entidad oscura llamada el Encapuchado en el Árbol de las almas. Regresa al Campamento de Sierraclara y habla con Una.","คุณได้ปลดปล่อยบุคคลมืดมนที่มีชื่อว่าผู้คลุมกายออกมาจากต้นตรึงวิญญาณแล้ว กลับไปพูดคุยกับอูน่าที่ค่ายเคลียร์เฟล","你從攝魂之樹釋放出一個名為黑衣幽魂的黑暗生物。返回皆伐營地與烏娜交談。","","Meet Una in Clearfell","Retrouvez Una à la Clairière","Trefft Una in Lichtfall","クリアフェルでウーナに会え","클리어펠에 있는 우나 만나기","Encontre Una em Clearfell","Встретьтесь с Уной в Клирфелле","Reúnete con Una en Sierraclara","ไปพบกับอูน่าในเคลียร์เฟล","在皆伐與烏娜碰面",[8],0,"Return to Clearfell Encampment and speak to Una","Retournez au Campement de la Clairière et parlez à Una","Kehrt zum Lichtfall-Lager zurück und sprecht mit Una.","クリアフェルの野営地に戻りウーナと話せ","클리어펠 야영지로 돌아가서 우나와 대화하기","Volte ao Acampamento Clearfell e fale com Una","Вернитесь в Лагерь Клирфелл и поговорите с Уной","Regresa al Campamento de Sierraclara y habla con Una","กลับไปยังค่ายเคลียร์เฟลแล้วพูดคุยกับอูน่า","返回皆伐營地與烏娜交談","",[],"",[],[],10,"","",[],"",""
15,2,2,[2957],[],"You have released a dark entity called the Hooded One from the Tree of Souls. Speak to Una for more information.","Vous avez libéré de l'Arbre des âmes une entité sombre appelée l'Encapuchonné. Parlez à Una pour plus d'informations.","Ihr habt ein dunkles Wesen namens der Verhüllte aus dem Baum der Seelen befreit. Sprecht mit Una für weitere Informationen.","フードをかぶった者と呼ばれる闇の存在を魂の木から解放した。ウーナと話し詳細を聞け","영혼의 나무에서 두건 쓴 자라는 어둠의 존재를 풀어줬습니다. 우나와 대화해서 자세한 정보를 알아보십시오.","Você libertou uma entidade sombria da Árvore das Almas chamada O Encapuzado. Fale com Una para mais informações.","Вы освободили тёмную сущность по имений Скрытный от Дерева Душ. Поговорите с Уной по поводу деталей.","Has liberado a una entidad oscura llamada el Encapuchado en el Árbol de las almas. Habla con Una para obtener más información.","คุณได้ปลดปล่อยบุคคลมืดมนที่มีชื่อว่าผู้คลุมกายออกมาจากต้นตรึงวิญญาณแล้ว พูดคุยกับอูน่าเพื่อหาข้อมูลเพิ่มเติม","你從攝魂之樹釋放出一個名為黑衣幽魂的黑暗生物。與烏娜交談取得更多情報。","","Speak to Una","Parlez à Una","Sprecht mit Una","ウーナと話せ","우나와 대화하기","Fale com Una","Поговорите с Уной","Habla con Una","พูดคุยกับอูน่า","與烏娜對話",[18],4000,"Speak to Una about what you have just witnessed","Racontez à Una ce dont vous avez été témoin","Sprecht mit Una über das，was ihr gerade erlebt habt.","今目撃したことについてウーナと話せ","지금 목격한 일에 관해 우나와 대화하기","Fale com Una sobre o que você testemunhou","Поговорите с Уной о только что увиденном","Habla con Una sobre lo que acabas de presenciar","พูดคุยกับอูน่าเรื่องสิ่งที่คุณพบเห็น","返回皆伐營地並與烏娜交談",18,[],"",[],[],10,"","",[],"",""
16,2,3,"[2955,2956]",[2954],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","Plantez chaque Clou runique dans les anciennes runes de l'Arbre des âmes pour lui demander de relâcher l'Encapuchonné.","Stecht jeden Runenstachel in die uralten Runen am Baum der Seelen, um ihn zu bitten, den Verhüllten zu befreien.","各ルーンの釘を魂の木の古代のルーンに刺し、フードをかぶった者を解放してもらえ","룬 가시를 각각 영혼의 나무에 있는 고대 룬에 찔러 넣고 두건 쓴 자를 풀어주라고 요청하십시오.","Espete cada Estaca Rúnica nas Runas Antigas na Árvore das Almas para pedir que ela liberte o Encapuzado.","Вонзите каждый рунный шип в древние руны на Дереве Душ, чтобы попросить его освободить Скрытного.","Clava las estacas rúnicas en las runas antiguas del Árbol de las almas para pedirle que libere al Encapuchado.","แทงเหล็กแหลมสลักอักขระแต่ละอันเข้าไปในอักขระโบราณบนต้นตรึงวิญญาณ เพื่อขอให้มันปลดปล่อยผู้คลุมกาย","將每個魔符尖矢戳進攝魂之樹上的遠古魔符，要求它釋放黑衣幽魂。","","Use the Last Rune Spike","Utilisez le dernier Clou runique","Benutzt den letzten Runenstachel","最後のルーンの釘を使え","마지막 룬 가시 사용하기","Use a Última Estaca Rúnica","Используйте последний рунный шип","Usa la última estaca rúnica","ใช้เหล็กแหลมสลักอักขระอันสุดท้าย","使用最後的魔符尖矢",[18],0,"Stab the last Rune Spike into the Tree of Souls","Plantez le dernier Clou runique dans l'Arbre des âmes","Stecht den letzten Runenstachel in den Baum der Seelen.","最後のルーンの釘を魂の木に突き刺せ","마지막 룬 가시를 영혼의 나무에 찔러 넣기","Espete a última Estaca Rúnica na Árvore das Almas","Вонзите последний рунный шип в Дерево Душ","Clava la última estaca rúnica en el Árbol de las almas","แทงเหล็กแหลมสลักอักขระอันสุดท้ายเข้าไปในต้นตรึงวิญญาณ","將最後一根魔符尖矢戳進攝魂之樹",18,[],"",[],[],10,"","",[2853],"",""
17,2,4,"[2954,2956]",[2955],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","Plantez chaque Clou runique dans les anciennes runes de l'Arbre des âmes pour lui demander de relâcher l'Encapuchonné.","Stecht jeden Runenstachel in die uralten Runen am Baum der Seelen, um ihn zu bitten, den Verhüllten zu befreien.","それぞれのルーンの釘を魂の木の古代のルーンに突き刺して、フードをかぶった者を解放するように呼び掛けろ","룬 가시를 각각 영혼의 나무에 있는 고대 룬에 찔러 넣고 두건 쓴 자를 풀어주라고 요청하십시오.","Espete cada Estaca Rúnica nas Runas Antigas na Árvore das Almas para pedir que ela liberte o Encapuzado.","Вонзите каждый рунный шип в древние руны на Дереве Душ, чтобы попросить его освободить Скрытного.","Clava las estacas rúnicas en las runas antiguas del Árbol de las almas para pedirle que libere al Encapuchado.","แทงเหล็กแหลมสลักอักขระแต่ละอันเข้าไปในอักขระโบราณบนต้นตรึงวิญญาณ เพื่อขอให้มันปลดปล่อยผู้คลุมกาย","將每個魔符尖矢戳進攝魂之樹上的遠古魔符，要求它釋放黑衣幽魂。","","Use the Last Rune Spike","Utilisez le dernier Clou runique","Benutze den letzten Runenstachel","最後のルーンの釘を使え","마지막 룬 가시 사용하기","Use a Última Estaca Rúnica","Используйте последний рунный шип","Usa la última estaca rúnica","ใช้เหล็กแหลมสลักอักขระอันสุดท้าย","使用最後的魔符尖矢",[18],0,"Stab the last Rune Spike into the Tree of Souls","Plantez le dernier Clou runique dans l'Arbre des âmes","Stecht den letzten Runenstachel in den Baum der Seelen.","最後のルーンの釘を魂の木に突き刺せ","마지막 룬 가시를 영혼의 나무에 찔러 넣기","Espete a última Estaca Rúnica na Árvore das Almas","Вонзите последний рунный шип в Дерево Душ","Clava la última estaca rúnica en el Árbol de las almas","แทงเหล็กแหลมสลักอักขระอันสุดท้ายเข้าไปในต้นตรึงวิญญาณ","將最後一根魔符尖矢戳進攝魂之樹",18,[],"",[],[],10,"","",[2853],"",""
18,2,5,"[2954,2955]",[2956],"Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","Plantez chaque Clou runique dans les anciennes runes de l'Arbre des âmes pour lui demander de relâcher l'Encapuchonné.","Stecht jeden Runenstachel in die uralten Runen am Baum der Seelen, um ihn zu bitten, den Verhüllten zu befreien.","それぞれのルーンの釘を魂の木の古代のルーンに突き刺して、フードをかぶった者を解放するように呼び掛けろ","룬 가시를 각각 영혼의 나무에 있는 고대 룬에 찔러 넣고 두건 쓴 자를 풀어주라고 요청하십시오.","Espete cada Estaca Rúnica nas Runas Antigas na Árvore das Almas para pedir que ela liberte o Encapuzado.","Вонзите каждый рунный шип в древние руны на Дереве Душ, чтобы попросить его освободить Скрытного.","Clava las estacas rúnicas en las runas antiguas del Árbol de las almas para pedirle que libere al Encapuchado.","แทงเหล็กแหลมสลักอักขระแต่ละอันเข้าไปในอักขระโบราณบนต้นตรึงวิญญาณ เพื่อขอให้มันปลดปล่อยผู้คลุมกาย","將每個魔符尖矢戳進攝魂之樹上的遠古魔符，要求它釋放黑衣幽魂。","","Use the Last Rune Spike","Utilisez le dernier Clou runique","Benutze den letzten Runenstachel","最後のルーンの釘を使え","마지막 룬 가시 사용하기","Use a Última Estaca Rúnica","Используйте последний рунный шип","Usa la última estaca rúnica","ใช้เหล็กแหลมสลักอักขระอันสุดท้าย","使用最後的魔符尖矢",[18],0,"Stab the last Rune Spike into the Tree of Souls","Plantez le dernier Clou runique dans l'Arbre des âmes","Stecht den letzten Runenstachel in den Baum der Seelen.","最後のルーンの釘を魂の木に突き刺せ","마지막 룬 가시를 영혼의 나무에 찔러 넣기","Espete a última Estaca Rúnica na Árvore das Almas","Вонзите последний рунный шип в Дерево Душ","Clava la última estaca rúnica en el Árbol de las almas","แทงเหล็กแหลมสลักอักขระอันสุดท้ายเข้าไปในต้นตรึงวิญญาณ","將最後一根魔符尖矢戳進攝魂之樹",18,[],"",[],[],10,"","",[2853],"",""
19,2,6,[2956],"[2954,2955]","Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","Plantez chaque Clou runique dans les anciennes runes de l'Arbre des âmes pour lui demander de relâcher l'Encapuchonné.","Stecht jeden Runenstachel in die alten Runen am Baum der Seelen, um ihn zu bitten, den Verhüllten zu befreien.","それぞれのルーンの釘を魂の木の古代のルーンに突き刺して、フードをかぶった者を解放するように呼び掛けろ","룬 가시를 각각 영혼의 나무에 있는 고대 룬에 찔러 넣고 두건 쓴 자를 풀어주라고 요청하십시오.","Espete cada Estaca Rúnica nas Runas Ancestrais da Árvore das Almas para pedir que ela liberte o Encapuzado.","Вонзите каждый рунный шип в древние руны на Дереве Душ, чтобы попросить его освободить Скрытного.","Clava las estacas rúnicas en las runas antiguas del Árbol de las almas para pedirle que libere al Encapuchado.","แทงเหล็กแหลมสลักอักขระแต่ละอันเข้าไปในอักขระโบราณบนต้นตรึงวิญญาณ เพื่อขอให้มันปลดปล่อยผู้คลุมกาย","將每個魔符尖矢戳進攝魂之樹上的遠古魔符，要求它釋放黑衣幽魂。","","Use the Rune Spikes","Utilisez les Clous runiques","Benutze die Runenstacheln","ルーンの釘を使え","룬 가시 사용하기","Use as Estacas Rúnicas","Используйте рунные шипы","Usa las estacas rúnicas","ใช้เหล็กแหลมสลักอักขระ","使用魔符尖矢",[18],0,"Stab the 2 remaining Rune Spikes into the Tree of Souls","Plantez les 2 derniers Clous runiques dans l'Arbre des âmes","Stecht die 2 verbliebenen Runenstacheln in den Baum der Seelen.","残り2個のルーンの釘を魂の木に突き刺せ","남은 룬 가시 2개를 영혼의 나무에 찔러 넣기","Espete as duas última Estaca Rúnica na Árvore das Almas","Вонзите 2 оставшихся рунных шипа в Дерево Душ","Clava las dos estacas rúnicas restantes en el Árbol de las almas","แทงเหล็กแหลมสลักอักขระ 2 อันสุดท้ายเข้าไปในต้นตรึงวิญญาณ","將剩餘 2 根魔符尖矢戳進攝魂之樹",18,[],"",[],[],10,"","",[2853],"",""
20,2,7,[2955],"[2954,2956]","Stab each Rune Spike into the Ancient Runes on the Tree of Souls to ask it to release the Hooded One.","Plantez chaque Clou runique dans les anciennes runes de l'Arbre des âmes pour lui demander de relâcher l'Encapuchonné.","Stecht jeden Runenstachel in die alten Runen am Baum der Seelen, um ihn zu bitten, den Verhüllten zu befreien.","それぞれのルーンの釘を魂の木の古代のルーンに突き刺して、フードをかぶった者を解放するように呼び掛けろ","룬 가시를 각각 영혼의 나무에 있는 고대 룬에 찔러 넣고 두건 쓴 자를 풀어주라고 요청하십시오.","Espete cada Estaca Rúnica nas Runas Ancestrais da Árvore das Almas para pedir que ela liberte o Encapuzado.","Вонзите каждый рунный шип в древние руны на Дереве Душ, чтобы попросить его освободить Скрытного.","Clava las estacas rúnicas en las runas antiguas del Árbol de las almas para pedirle que libere al Encapuchado.","แทงเหล็กแหลมสลักอักขระแต่ละอันเข้าไปในอักขระโบราณบนต้นตรึงวิญญาณ เพื่อขอให้มันปลดปล่อยผู้คลุมกาย","將每個魔符尖矢戳進攝魂之樹上的遠古魔符，要求它釋放黑衣幽魂。","","Use the Rune Spikes","Utilisez les Clous runiques","Benutze die Runenstacheln","ルーンの釘を使え","룬 가시 사용하기","Use as Estacas Rúnicas","Используйте рунные шипы","Usa las estacas rúnicas","ใช้เหล็กแหลมสลักอักขระ","使用魔符尖矢",[18],0,"Stab the 2 remaining Rune Spikes into the Tree of Souls","Plantez les 2 derniers Clous runiques dans l'Arbre des âmes","Stecht die 2 verbliebenen Runenstacheln in den Baum der Seelen.","残り2個のルーンの釘を魂の木に突き刺せ","남은 룬 가시 2개를 영혼의 나무에 찔러 넣기","Espete as duas últimas Estaca Rúnica na Árvore das Almas","Вонзите 2 оставшихся рунных шипа в Дерево Душ","Clava las dos estacas rúnicas restantes en el Árbol de las almas","แทงเหล็กแหลมสลักอักขระ 2 อันสุดท้ายเข้าไปในต้นตรึงวิญญาณ","將剩餘 2 根魔符尖矢戳進攝魂之樹",18,[],"",[],[],10,"","",[2853],"",""
