"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterAbilities (French)","MonsterAbilities (German)","MonsterAbilities (Japanese)","MonsterAbilities (Korean)","MonsterAbilities (Portuguese)","MonsterAbilities (Russian)","MonsterAbilities (Spanish)","MonsterAbilities (Thai)","MonsterAbilities (Traditional Chinese)","MonsterCategory"
95,4886,10170,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste","5% d'Augmentation des Dégâts d'attaque tous les 450 de Score d'Évasion\r\n5% de chances d'octroyer au toucher une Charge de frénésie aux alliés à proximité\r\nUtilise Hâte","5% erhöhter Angriffsschaden pro 450 Ausweichwertung\r\n5% Chance, Verbündeten im Umkreis eine Raserei-Ladung bei Treffer zu gewähren\r\nZaubert Hast","回避力450ごとにアタックダメージが5％増加する\r\nヒット時に5％の確率で近くの味方にフレンジーチャージを1個付与する\r\nヘイストをキャストする","회피 450당 공격 피해 5% 증가\r\n명중 시 주변 동료들에게 5%의 확률로 격분 충전 제공\r\n가속 시전","Dano de Ataque aumentado em 5% por cada 450 de Evasão\r\n5% de chance de conceder uma Carga de Frenesi aos Aliados próximos ao Acertar\r\nConjura Ímpeto","5% увеличение урона от атак за каждые 450 уклонения\r\n5% шанс даровать заряд ярости союзникам при нанесении удара\r\nСотворяет Спешку","Daño de ataques aumentado un 5% por cada 450 de evasión\r\n5% de probabilidad de otorgar una carga de frenesí a los aliados cercanos con cada golpe\r\nLanza Celeridad","เพิ่มความเสียหาย โจมตี 5% ต่อ อัตราการหลบหลีก 450\r\nมีโอกาสมอบ Frenzy Charge 1 ลูก ให้กับเพื่อนที่อยู่ใกล้ 5% เมื่อปะทะ\r\nร่าย ว่องไว (Haste)","每 450 閃避值，增加 5% 攻擊傷害\r\n擊中時，有 5% 機率給予附近友方 1 顆狂怒球\r\n施放迅捷",4
96,4887,10171,"Buffs Owner with Rongokurai's Boon","Octroie au propriétaire l'Effet bénéfique Bienfait de Rongokurai ","Stärkt Besitzer mit Rongokurais Segen","所有者にロンゴクライの恩恵のバフを付与する","소유자에게 롱고쿠라이의 은혜 버프 적용","Buffa o Dono com Dádiva de Rongokurai","Усиливает владельца Даром Ронгокураи","Potencia a su dueño con Bendición de Rongokurai","มอบบัฟ พรจากรอนโงคูรัย ให้กับเจ้าของ","持有者被隆格庫萊的恩賜增益",4
97,4888,10172,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 3% Physical Damage Reduction","Octroie au propriétaire l'Effet bénéfique Bienfait de Rongokurai\r\nLe propriétaire gagne 3% de Réduction des Dégâts physiques","Stärkt Besitzer mit Rongokurais Segen\r\nBesitzer erhält 3% physische Schadensminderung","所有者にロンゴクライの恩恵のバフを付与する\r\n所有者は3％の物理ダメージ軽減を得る","소유자에게 롱고쿠라이의 은혜 버프 적용\r\n소유자가 물리 피해 감소 3% 획득","Buffa o Dono com Dádiva de Rongokurai\r\nDono ganha 5% de Redução do Dano Físico","Усиливает владельца Даром Ронгокураи\r\nВладелец получает на 3% меньше физического урона","Potencia a su dueño con Bendición de Rongokurai\r\nSu dueño gana un 3% de reducción de daño físico","มอบบัฟ พรจากรอนโงคูรัย ให้กับเจ้าของ\r\nเจ้าของ มีค่าป้องกันกายภาพ 3%","持有者被隆格庫萊的恩賜增益\r\n持有者獲得 3% 物理傷害減免",4
98,4889,10173,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination","Octroie au propriétaire l'Effet bénéfique Bienfait de Rongokurai\r\nLe propriétaire gagne 5% de Réduction des Dégâts physiques\r\nUtilise Détermination","Stärkt Besitzer mit Rongokurais Segen\r\nBesitzer erhält 5% physische Schadensminderung\r\nZaubert Entschlossenheit","所有者にロンゴクライの恩恵のバフを付与する\r\n所有者は5％の物理ダメージ軽減を得る\r\nデターミネーションをキャストする","소유자에게 롱고쿠라이의 은혜 버프 적용\r\n소유자가 물리 피해 감소 5% 획득\r\n결의 시전","Buffa o Dono com Dádiva de Rongokurai\r\nDono ganha 5% de Redução do Dano Físico\r\nConjura Determinação","Усиливает владельца Даром Ронгокураи\r\nВладелец получает на 5% меньше физического урона\r\nСотворяет Решимость","Potencia a su dueño con Bendición de Rongokurai\r\nSu dueño gana un 5% de reducción de daño físico\r\nLanza Determinación","มอบบัฟ พรจากรอนโงคูรัย ให้กับเจ้าของ\r\nเจ้าของ มีค่าป้องกันกายภาพ 5%\r\nร่าย ปณิธาน (Determination)","持有者被隆格庫萊的恩賜增益\r\n持有者獲得 5% 物理傷害減免\r\n施放堅定",4
99,4890,10132,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams","Envoie des Rayons de foudre\r\nEnvoie des Explosions frigorifiantes\r\nPluie de Rochers\r\nUtilise Fracas","Feuert Blitzstrahlen\r\nFeuert unterkühlende Explosionen\r\nGeröllregen\r\nNutzt Hieb","ライトニングビームを放つ\r\n冷却ビームを放つ\r\n岩の雨\r\nスラムを使用する","번개 광선 발사\r\n냉각 폭발 발사\r\n바위 비\r\n강타","Dispara Feixes de Raio\r\nDispara Explosões Resfriantes\r\nChuva de Pedras\r\nPancada","Стреляет лучами молнии\r\nВызывает охлаждающие взрывы\r\nДождь из камней\r\nСовершает мощный удар","Dispara haces de rayo\r\nDispara explosiones de escarcha\r\nLluvia de pedruscos\r\nAtaca con embates","ยิง ลำแสงสายฟ้า\r\nยิง ระเบิดหนาวเย็น\r\nฝนลูกหิน\r\nทุบ","發射閃電光束\r\n發射冰緩爆發\r\n巨石之雨\r\n重擊",2
100,4891,10133,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite","Envoie des Rayons de foudre\r\nEnvoie des Explosions frigorifiantes\r\nPluie de Rochers\r\nUtilise Fracas\r\nFracas inflige 500% davantage de Dégâts avec l'Embrasement","Feuert Blitzstrahlen\r\nFeuert unterkühlende Explosionen\r\nGeröllregen\r\nNutzt Hieb\r\nHieb verursacht 500% mehr Schaden mit Entzünden","ライトニングビームを放つ\r\n冷却ビームを放つ\r\n岩の雨\r\nスラムを使用する\r\nスラムは発火ダメージが500%上昇する","번개 광선 발사\r\n냉각 폭발 발사\r\n바위 비\r\n강타\r\n강타가 주는 점화 피해 500% 증폭","Dispara Feixes de Raio\r\nDispara Explosões Resfriantes\r\nChuva de Pedras\r\nPancada\r\nPancada causa 500% mais Dano com Incêndio","Стреляет лучами молнии\r\nВызывает охлаждающие взрывы\r\nДождь из камней\r\nСовершает мощный удар\r\nМощный удар наносит на 500% больше урона от поджога","Dispara haces de rayo\r\nDispara explosiones de escarcha\r\nLluvia de pedruscos\r\nAtaca con embates\r\nLos embates infligen un 500% más de daño con quemadura","ยิง ลำแสงสายฟ้า\r\nยิง ระเบิดหนาวเย็น\r\nฝนลูกหิน\r\nทุบ\r\nการทุบ สร้างความเสียหาย ลุกไหม้ เพิ่มขึ้น อีก 500%","發射閃電光束\r\n發射冰緩爆發\r\n巨石之雨\r\n重擊\r\n重擊造成 500% 更多點燃傷害",2
101,4892,10134,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock","Envoie des Rayons de foudre\r\nEnvoie des Explosions frigorifiantes\r\nPluie de Rochers\r\nUtilise Fracas\r\nFracas inflige 500% davantage de Dégâts avec l'Embrasement\r\nRayon de foudre a +20% à l'Effet maximal de l'Électrocution","Feuert Blitzstrahlen\r\nFeuert unterkühlende Explosionen\r\nGeröllregen\r\nNutzt Hieb\r\nHieb verursacht 500% mehr Schaden mit Entzünden\r\nBlitzstrahl hat 20% maximale Schockwirkung","ライトニングビームを放つ\r\n冷却ビームを放つ\r\n岩の雨\r\nスラムを使用する\r\nスラムは発火ダメージが500%上昇する\r\nライトニングビームは最大20%の感電効果を持つ","번개 광선 발사\r\n냉각 폭발 발사\r\n바위 비\r\n강타\r\n강타가 주는 점화 피해 500% 증폭\r\n번개 광선이 감전의 최대 효과 20% 획득","Dispara Feixes de Raio\r\nDispara Explosões Resfriantes\r\nChuva de Pedras\r\nPancada\r\nPancada causa 500% mais Dano com Incêndio\r\nFeixe de Raio têm 20% de Efeito de Eletrização Máxima","Стреляет лучами молнии\r\nВызывает охлаждающие взрывы\r\nДождь из камней\r\nСовершает мощный удар\r\nМощный удар наносит на 500% больше урона от поджога\r\nЛучи молнии имеют 20% максимальный эффект шока","Dispara haces de rayo\r\nDispara explosiones de escarcha\r\nLluvia de pedruscos\r\nAtaca con embates\r\nLos embates infligen un 500% más de daño con quemadura\r\nEl haz de rayo tiene 20% de efecto máximo de la electrocución","ยิง ลำแสงสายฟ้า\r\nยิง ระเบิดหนาวเย็น\r\nฝนลูกหิน\r\nทุบ\r\nการทุบ สร้างความเสียหาย ลุกไหม้ เพิ่มขึ้น อีก 500%\r\nลำแสงสายฟ้า มีผลของสถานะ ช็อค สูงสุด 20%","發射閃電光束\r\n發射冰緩爆發\r\n巨石之雨\r\n重擊\r\n重擊造成 500% 更多點燃傷害\r\n閃電光束有 20% 最大感電效果",2
102,4893,10174,"Cyclones\r\nUses Molten Fissure","Utilise Cyclone\r\nUtilise Fissure volcanique","Nutzt Wirbelsturm\r\nNutzt Magmaspalte","サイクロン\r\nモルテンフィッシャーを使用する","회오리바람\r\n용암 균열 사용","Ciclones\r\nUsa Fissura Vulcânica","Использует Вихрь\r\nИспользует Магмовый разлом","Ciclones\r\nUsa Fisura fundida","พายุหมุน (Cyclone)\r\nใช้ หลอมละลายผ่าแยก","旋風斬\r\n使用熔岩裂隙",5
103,4894,10175,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike","Utilise Cyclone\r\nUtilise Fissure volcanique\r\nCoup de grâce","Nutzt Wirbelsturm\r\nNutzt Magmaspalte\r\nNutzt Todesstoß","サイクロン\r\nモルテンフィッシャーを使用する\r\nカリングストライク","회오리바람\r\n용암 균열 사용\r\n마무리 타격","Ciclones\r\nUsa Fissura Vulcânica\r\nGolpe Abatedor","Использует Вихрь\r\nИспользует Магмовый разлом\r\nДобивание","Ciclones\r\nUsa Fisura fundida\r\nGolpe de gracia","พายุหมุน (Cyclone)\r\nใช้ หลอมละลายผ่าแยก\r\nฟาดปลิดชีพ","旋風斬\r\n使用熔岩裂隙\r\n撲殺",5
104,4895,10176,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught","Utilise Cyclone\r\nUtilise Fissure volcanique\r\nCoup de grâce\r\nLes alliés à proximité ont Assaut","Nutzt Wirbelsturm\r\nNutzt Magmaspalte\r\nNutzt Todesstoß\r\nVerbündete im Umkreis haben Ansturm","サイクロン\r\nモルテンフィッシャーを使用する\r\nカリングストライク\r\n近くの味方は猛攻を得る","회오리바람\r\n용암 균열 사용\r\n마무리 타격\r\n주변 동료들이 맹공 획득","Ciclones\r\nUsa Fissura Vulcânica\r\nGolpe Abatedor\r\nAliados próximos têm Agressividade","Использует Вихрь\r\nИспользует Магмовый разлом\r\nДобивание\r\nНа ближайших союзников действует Боевой раж","Ciclones\r\nUsa Fisura fundida\r\nGolpe de gracia\r\nLos aliados cercanos tienen Fervor","พายุหมุน (Cyclone)\r\nใช้ หลอมละลายผ่าแยก\r\nฟาดปลิดชีพ\r\nเพื่อนที่อยู่ใกล้ ได้รับสถานะ เร่งราวี","旋風斬\r\n使用熔岩裂隙\r\n撲殺\r\n附近友方友猛攻",5
